"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","PROX1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","MRC1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","UTRN","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","PKHD1L1","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","NR2F2","","","","","","","","","","","","","","","","","","","","","","","",""
"Lymphatic EC differentiating","MAF","","","","","","","","","","","","","","","","","","","","","","","",""
"Peribronchial fibroblasts","CXCL14","","","","","","","","","","","","","","","","","","","","","","","",""
"Peribronchial fibroblasts","ASPN","","","","","","","","","","","","","","","","","","","","","","","",""
"Peribronchial fibroblasts","SCGB1A1","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","MGST1","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","SFRP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","SCARA5","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","MFAP5","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","FBLN2","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","PLA2G2A","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","UAP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","SLPI","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","PTGIS","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventitial fibroblasts","PCOLCE2","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","GPC3","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","SCN7A","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","LIMCH1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","CDH11","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","PLEKHH2","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","MYH10","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","ANGPT1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","AOC3","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar fibroblasts","G0S2","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","COX4I2","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","HIGD1B","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","NDUFA4L2","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","PAG1","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","KCNK3","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","EGFL6","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","PTN","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","RGN","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","LAMC3","","","","","","","","","","","","","","","","","","","","","","","",""
"Pericytes","GJA4","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","MARCKSL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","WT1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","IGFBP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","APOC1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","HLA-DRB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","CLDN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","C2","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","FXYD5","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","CXCL2","","","","","","","","","","","","","","","","","","","","","","","",""
"Subpleural fibroblasts","ALDH1A3","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","ASPN","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","BCHE","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","ITGBL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Myofibroblasts","MYH11","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","MYH11","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","TINAGL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","ACTG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","TM4SF1","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","LMOD1","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","COX4I2","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","C2orf40","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","CSRP2","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","MCAM","","","","","","","","","","","","","","","","","","","","","","","",""
"Smooth muscle","CNN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","ACTG2","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","CNN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","DES","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","MYH11","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","RAMP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","BCHE","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","FAM83D","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","SBSPON","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","KCNMB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fibromyocytes","SMTN","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","MYH11","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","MCAM","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","TINAGL1","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","LMOD1","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","RCAN2","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","NR4A2","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","HEXIM1","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","KDM6B","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","UBE2S","","","","","","","","","","","","","","","","","","","","","","","",""
"SM activated stress response","TOB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","HP","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","KRT19","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","KRT18","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","KRT8","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","CALB2","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","TM4SF1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","PRG4","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","CFB","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","UPK3B","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesothelium","MSLN","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","MS4A1","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","CD79A","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","BANK1","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","LTB","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","IGKC","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","MEF2C","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","BIRC3","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","STK17A","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","LIMD2","","","","","","","","","","","","","","","","","","","","","","","",""
"B cells","GPR183","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","MZB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","JCHAIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","FKBP11","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","DERL3","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","ISG20","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","IGKC","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","ITM2C","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","CD79A","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","CD27","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasma cells","TNFRSF17","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","IL32","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","CD3E","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","CD3D","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","CD2","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","LTB","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","ACAP1","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","TRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"CD4 T cells","TRBC2","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","CCL5","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","IL32","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","CD3D","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","NKG7","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","CD2","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","GZMB","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","CTSW","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","CST7","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","GZMA","","","","","","","","","","","","","","","","","","","","","","","",""
"CD8 T cells","CD7","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","IL32","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","CD3D","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","TYMS","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","CD3E","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","KIAA0101","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","MKI67","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","RRM2","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","ANP32E","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","NUDT1","","","","","","","","","","","","","","","","","","","","","","","",""
"T cells proliferating","SMC4","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","NKG7","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","GNLY","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","GZMB","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","PRF1","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","CST7","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","KLRD1","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","CTSW","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","CD7","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","GZMA","","","","","","","","","","","","","","","","","","","","","","","",""
"NK cells","CD247","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","C1orf54","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","CPNE3","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","LGALS2","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","CLEC9A","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","WDFY4","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","TAP1","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","NAAA","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","ICAM3","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","DNASE1L3","","","","","","","","","","","","","","","","","","","","","","","",""
"DC1","CADM1","","","","","","","","","","","","","","","","","","","","","","","",""
"DC2","GPR183","","","","","","","","","","","","","","","","","","","","","","","",""
"DC2","CLEC10A","","","","","","","","","","","","","","","","","","","","","","","",""
"DC2","FGL2","","","","","","","","","","","","","","","","","","","","","","","",""
"DC2","RNASE6","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","BIRC3","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","LAMP3","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","CCR7","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","CSF2RA","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","FSCN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","MARCKSL1","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","DAPP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","CCL22","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","RASSF4","","","","","","","","","","","","","","","","","","","","","","","",""
"Migratory DCs","TMEM176A","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","GZMB","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","JCHAIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","ITM2C","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","IRF7","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","PPP1R14B","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","C12orf75","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","TSPAN13","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","UGCG","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","APP","","","","","","","","","","","","","","","","","","","","","","","",""
"Plasmacytoid DCs","TCF4","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","FABP4","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","APOE","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","MSR1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","SERPING1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","MCEMP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","TREM1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","GPNMB","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","CYP27A1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","PPARG","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages","NUPR1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","MIR3945HG","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","CCL20","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","HLA-DQA2","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","PHLDA3","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","ITGB8","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","CCL4L2","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","NINJ1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","SCGB3A1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","TNIP3","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar macrophages CCL3+","CXCL5","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","MT1X","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","MT1E","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","MT1G","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","SFTPB","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","KCNMA1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","EMP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","MT1F","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","C15orf48","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages MT-positive","RP11-598F7.3","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","KIAA0101","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","CKS1B","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","TYMS","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","CENPW","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","NUSAP1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","CDK1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","UBE2C","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","PTTG1","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","MKI67","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolar Macrophages proliferating","SMC4","","","","","","","","","","","","","","","","","","","","","","","",""
"Monocyte-derived Macrophages","RNASE1","","","","","","","","","","","","","","","","","","","","","","","",""
"Monocyte-derived Macrophages","C15orf48","","","","","","","","","","","","","","","","","","","","","","","",""
"Monocyte-derived Macrophages","VCAN","","","","","","","","","","","","","","","","","","","","","","","",""
"Monocyte-derived Macrophages","CXCL8","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","F13A1","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","RNASE1","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","STAB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","RNASE6","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","GPR183","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","FGL2","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","CSF1R","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","FCGR2B","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","IL13RA1","","","","","","","","","","","","","","","","","","","","","","","",""
"Interstitial Macrophages perivascular","METRNL","","","","","","","","","","","","","","","","","","","","","","","",""
"Classical monocytes","FCN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Classical monocytes","VCAN","","","","","","","","","","","","","","","","","","","","","","","",""
"Classical monocytes","S100A12","","","","","","","","","","","","","","","","","","","","","","","",""
"Classical monocytes","CFP","","","","","","","","","","","","","","","","","","","","","","","",""
"Classical monocytes","EREG","","","","","","","","","","","","","","","","","","","","","","","",""
"Classical monocytes","CD300E","","","","","","","","","","","","","","","","","","","","","","","",""
"Classical monocytes","FGL2","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","FCN1","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","LILRB2","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","FGL2","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","CFP","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","LILRA5","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","CSF1R","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","LILRB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","WARS","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","FAM26F","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-classical monocytes","LIMD2","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","TPSAB1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","TPSB2","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","CPA3","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","HPGDS","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","MS4A2","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","GATA2","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","KIT","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","CLU","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","VWA5A","","","","","","","","","","","","","","","","","","","","","","","",""
"Mast cells","RGS13","","","","","","","","","","","","","","","","","","","","","","","",""